ID,TIPO_DOCUMENTO,NUM_DOCUMENTO,NOMBRE,APELLIDO,DIRECCION,TELEFONO,FECHA_INSCRIPCION,FECHA_NACIMIENTO,CIUDAD,DEPARTAMENTO,COD_POSTAL,OFICINA
1653,3,'cedulae1','cliente1','apellido1','direccion1653','telefono1653',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('16/8/1935','dd/mm/yyyy'),'ciudad1','departamento1','001653'
1654,3,'cedulae2','cliente2','apellido2','direccion1654','telefono1654',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('15/2/1924','dd/mm/yyyy'),'ciudad25','departamento5','001654'
1655,3,'cedulae3','cliente3','apellido1','direccion1655','telefono1655',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('21/11/1972','dd/mm/yyyy'),'ciudad18','departamento8','001655'
1656,2,'cedula1653','cliente4','apellido4','direccion1656','telefono1656',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('25/9/1953','dd/mm/yyyy'),'ciudad1','departamento1','001656'
1657,4,'pasaporte1','cliente5','apellido1','direccion1657','telefono1657',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('21/2/1923','dd/mm/yyyy'),'ciudad1','departamento1','001657'
1658,1,'tarjetai1','cliente6','apellido3','direccion1658','telefono1658',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('1/3/1998','dd/mm/yyyy'),'ciudad1','departamento1','001658'
1659,3,'cedulae4','cliente7','apellido1','direccion1659','telefono1659',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('4/11/1995','dd/mm/yyyy'),'ciudad1','departamento1','001659'
1660,4,'pasaporte2','cliente8','apellido7','direccion1660','telefono1660',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('14/2/1928','dd/mm/yyyy'),'ciudad58','departamento8','001660'
1661,5,'nit1','empresa1','null','direccion1661','telefono1661',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('25/11/1995','dd/mm/yyyy'),'ciudad1','departamento1','001661'
1662,3,'cedulae5','cliente10','apellido2','direccion1662','telefono1662',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('26/5/1955','dd/mm/yyyy'),'ciudad40','departamento0','001662'
1663,3,'cedulae6','cliente11','apellido7','direccion1663','telefono1663',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('29/3/1946','dd/mm/yyyy'),'ciudad19','departamento9','001663'
1664,5,'nit2','empresa2','null','direccion1664','telefono1664',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('24/7/1914','dd/mm/yyyy'),'ciudad1','departamento1','001664'
1665,2,'cedula1654','cliente13','apellido10','direccion1665','telefono1665',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('6/8/1950','dd/mm/yyyy'),'ciudad1','departamento1','001665'
1666,2,'cedula1655','cliente14','apellido4','direccion1666','telefono1666',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('20/7/1993','dd/mm/yyyy'),'ciudad40','departamento0','001666'
1667,5,'nit3','empresa3','null','direccion1667','telefono1667',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('21/5/1946','dd/mm/yyyy'),'ciudad9','departamento9','001667'
1668,1,'tarjetai2','cliente16','apellido2','direccion1668','telefono1668',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('12/9/2002','dd/mm/yyyy'),'ciudad2','departamento2','001668'
1669,3,'cedulae7','cliente17','apellido14','direccion1669','telefono1669',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('10/6/1929','dd/mm/yyyy'),'ciudad1','departamento1','001669'
1670,1,'tarjetai3','cliente18','apellido14','direccion1670','telefono1670',TO_DATE('21/9/2015','dd/mm/yyyy'),TO_DATE('28/3/2001','dd/mm/yyyy'),'ciudad10','departamento0','001670'
