NUMERO,SALDO,TIPO_CUENTA,CLIENTE,OFICINA
1,483930.3099518927,4,1653,1
2,46150.76766722952,4,1654,1
3,12903433.522286765,4,1655,1
4,60932300.078519225,4,1655,1
5,28651201.661957443,4,1656,1
6,86475.37550167786,4,1656,1
7,31262291.04144179,1,1657,1
8,26934618.16455061,3,1657,1
9,878677.6306637211,2,1657,1
10,6343125.500490914,1,1658,1
11,17517100.639529068,3,1658,1
12,2845627.1247480405,3,1658,1
13,50560918.7990138,3,1659,1
14,1015325.2335289177,4,1659,1
15,146819.14126710757,3,1659,1
16,7552386.796109008,2,1660,1
17,8159464.865150164,4,1660,1
18,4952023.195948809,2,1661,1
19,65634596.46893414,3,1661,1
20,4095347.0786329214,3,1661,1
21,9144308.373029009,2,1662,1
22,503319.6431453646,3,1663,1
23,1668602.4947261608,4,1664,1
24,41664909.30962269,3,1665,1
25,9775717.99753499,2,1666,1
26,476353.1972701631,2,1667,1
27,498592.0195063353,4,1667,1
28,7201478.455469694,2,1668,1
29,320631.0735638023,2,1668,1
30,7518722.835875196,2,1669,1
31,1892879.632619791,4,1669,1
32,7075455.177721711,2,1670,1
33,13748385.875945218,1,1670,1
34,12768128.654952642,4,1670,1
35,8517043.884811074,3,1671,1
36,910433.3849247384,1,1672,1
37,44775433.52111523,4,1673,2
38,7364040.779112531,1,1673,2
39,14788503.641655302,4,1673,2
40,7851586.656453436,4,1674,2
41,367712.6634870861,4,1675,2
42,8126613.998286531,4,1675,2
43,19243455.789484173,2,1676,2
44,9182998.648193661,1,1677,2
45,7177373.120785248,1,1678,2
46,525509.6221153478,1,1678,2
47,3749856.7383002685,2,1679,2
48,21571607.340695728,2,1680,2
49,4940272.227011432,1,1680,2
50,47702228.606406644,3,1681,2
51,32165421.387641963,2,1681,2
52,41187467.20691107,4,1682,2
53,758505.887944421,2,1683,2
54,28981982.090447668,1,1683,2
55,62341659.29165304,3,1684,2
56,471195.7607489488,1,1685,2
57,1442817.0805081516,2,1685,2
58,1596479.997100064,1,1685,2
59,10045865.945351254,3,1686,2
60,38002895.165322825,3,1686,2
61,41511613.558427796,1,1687,2
62,1154780.7896160902,4,1687,2
63,5178874.449222055,4,1688,2
64,762404.6764101663,4,1689,2
65,76187.13134992484,2,1689,2
66,58341350.80613273,3,1689,2
67,1991812.8774542995,1,1690,2
68,1875507.2878292624,3,1690,2
69,20645.372320965747,1,1690,2
70,32493786.518830452,2,1691,2
71,55318.36189026595,2,1691,2
72,29584156.534441944,2,1692,2
73,520106.4088641645,1,1693,3
74,17631774.43266532,4,1694,3
75,245733.5163096949,2,1694,3
76,60333857.095250696,1,1695,3
77,5656062.723129654,4,1695,3
78,50764653.98807285,2,1696,3
79,53327924.68096307,4,1696,3
80,43248445.08580408,1,1697,3
81,6454072.289925986,1,1697,3
82,54886607.58573996,1,1698,3
83,17680307.901465602,2,1698,3
84,1361766.9228208037,4,1698,3
85,588514.2255162374,2,1699,3
86,36477007.6063722,2,1699,3
87,25494225.48612518,4,1700,3
88,43061671.482437365,4,1701,3
89,346271.02177702077,1,1701,3
90,33984920.742137924,4,1701,3
91,26827927.934412606,2,1702,3
92,11595476.214392629,4,1703,3
93,40506660.63759221,3,1703,3
94,23303237.26162326,3,1703,3
95,13857258.743102705,2,1704,3
