ID,PIN,EMAIL,TIPO
1653,'cliente1','cliente1@example.com',1
1654,'cliente2','cliente2@example.com',1
1655,'cliente3','cliente3@example.com',1
1656,'cliente4','cliente4@example.com',1
1657,'cliente5','cliente5@example.com',1
1658,'cliente6','cliente6@example.com',1
1659,'cliente7','cliente7@example.com',1
1660,'cliente8','cliente8@example.com',1
1661,'empresa1','empresa1@example.com',2
1662,'cliente10','cliente10@example.com',1
1663,'cliente11','cliente11@example.com',1
1664,'empresa2','empresa2@example.com',2
1665,'cliente13','cliente13@example.com',1
1666,'cliente14','cliente14@example.com',1
1667,'empresa3','empresa3@example.com',2
1668,'cliente16','cliente16@example.com',1
1669,'cliente17','cliente17@example.com',1
1670,'cliente18','cliente18@example.com',1
1671,'cliente19','cliente19@example.com',1
1672,'cliente20','cliente20@example.com',1
1673,'cliente21','cliente21@example.com',1
1674,'empresa4','empresa4@example.com',2
1675,'cliente23','cliente23@example.com',1
1676,'cliente24','cliente24@example.com',1
1677,'cliente25','cliente25@example.com',1
1678,'cliente26','cliente26@example.com',1
1679,'cliente27','cliente27@example.com',1
1680,'cliente28','cliente28@example.com',1
1681,'cliente29','cliente29@example.com',1
1682,'empresa5','empresa5@example.com',2
1683,'empresa6','empresa6@example.com',2
1684,'cliente32','cliente32@example.com',1
1685,'cliente33','cliente33@example.com',1
1686,'cliente34','cliente34@example.com',1
1687,'cliente35','cliente35@example.com',1
1688,'cliente36','cliente36@example.com',1
1689,'cliente37','cliente37@example.com',1
1690,'cliente38','cliente38@example.com',1
1691,'cliente39','cliente39@example.com',1
1692,'cliente40','cliente40@example.com',1
1693,'cliente41','cliente41@example.com',1
1694,'cliente42','cliente42@example.com',1
1695,'cliente43','cliente43@example.com',1
1696,'cliente44','cliente44@example.com',1
1697,'cliente45','cliente45@example.com',1
1698,'cliente46','cliente46@example.com',1
1699,'cliente47','cliente47@example.com',1
1700,'cliente48','cliente48@example.com',1
1701,'cliente49','cliente49@example.com',1
1702,'cliente50','cliente50@example.com',1
1703,'empresa7','empresa7@example.com',2
1704,'cliente52','cliente52@example.com',1
1705,'empresa8','empresa8@example.com',2
1706,'cliente54','cliente54@example.com',1
1707,'cliente55','cliente55@example.com',1
1708,'empresa9','empresa9@example.com',2
1709,'cliente57','cliente57@example.com',1
1710,'cliente58','cliente58@example.com',1
1711,'cliente59','cliente59@example.com',1
1712,'cliente60','cliente60@example.com',1
1713,'cliente61','cliente61@example.com',1
1714,'empresa10','empresa10@example.com',2
1715,'cliente63','cliente63@example.com',1
1716,'cliente64','cliente64@example.com',1
1717,'cliente65','cliente65@example.com',1
1718,'cliente66','cliente66@example.com',1
1719,'cliente67','cliente67@example.com',1
1720,'cliente68','cliente68@example.com',1
1721,'empresa11','empresa11@example.com',2
1722,'cliente70','cliente70@example.com',1
1723,'cliente71','cliente71@example.com',1
1724,'cliente72','cliente72@example.com',1
1725,'cliente73','cliente73@example.com',1
1726,'cliente74','cliente74@example.com',1
1727,'cliente75','cliente75@example.com',1
1728,'cliente76','cliente76@example.com',1
1729,'cliente77','cliente77@example.com',1
1730,'cliente78','cliente78@example.com',1
1731,'cliente79','cliente79@example.com',1
1732,'cliente80','cliente80@example.com',1
1733,'cliente81','cliente81@example.com',1
1734,'cliente82','cliente82@example.com',1
1735,'cliente83','cliente83@example.com',1
1736,'cliente84','cliente84@example.com',1
1737,'cliente85','cliente85@example.com',1
